url,label
https://www.google.com/search?q=security,0
https://github.com/login,0
https://www.microsoft.com/en-us/security,0
https://docs.python.org/3/library/urllib.parse.html,0
https://www.cloudflare.com/learning/security/,0
https://aws.amazon.com/security/,0
https://www.paypal.com/us/signin,0
https://www.bankofamerica.com/,0
https://support.google.com/accounts,0
https://www.linkedin.com/login,0
http://paypal-account-verify-login.secure-update.example.com/session?id=839292,1
http://192.168.10.77/bank/login/verify.php?account=locked,1
https://micros0ft-support-password-reset.example.net/urgent/action,1
http://wallet-confirm-seed-phrase.example.org/recover,1
https://secure-login-paypa1.example.info/update-billing,1
http://invoice-payment-overdue.example.biz/download.js,1
https://account-limited-verify.example.co/login?token=9348838383,1
http://support-bankofamerica.example.ru/customer/verify,1
https://dropbox-file-share-login.example.cn/auth,1
http://urgent-security-alert.example.top/password-reset,1

